66,congrats on your new puppy ben as a roman catholic i completely agree with what you have said about pope benedict and the importance of his teachings happy 2023 to you and yours from hungary
36,i dont ever donate cash to organizations because who knows where that money goes not to mention the huge salaries the administrators take i choose to donate things such as canned food because it has little chance of being used for wrong
31,the backlash is ahead as a correction offered precisely because weve collectively allowed good to be called evil and evil promoted as good weve not merely failed in our duty were ignoring that we actually have a duty which is required of us keep on keepin on ben god bless you and your family
26,you and andrew tate should sit down and have a sunday special i think in a calm room with people not attacking him he has a lot of great things to say him and his brother are actually really great people he would be more likely to have a sophisticated conversation if people were coming at him with blatant accusations and untruths
24,the young have always been rebelling against society and parents traditions but the problem now is these young ones never actually grow up leaving university to continue their destructive toxic nature into work society and their own young families to them the only agenda that matters is the exact opposite to the status quo no matter the certain damage and devastation caused
18,congrats on the new puppy and the new baby ben
17,as a romanian the fact that ben can say romania is amazing 
16,even when bens speaking slowly it still sounds fast
14,thank you ben you are exactly right about andrew tate and his popularity im in my teens and have many friends who love tate i worry for them because i know many of his diagnoses are correct but few of his prescriptions are i try to help them as much as i can
14,2 things can be true at once you can care and worry about the environment you can not be a crazy person like most of these people
14,cant wait to see bens opinion on tate
13,thank you ben have been pointing this out for decades and its absolutely heartwretchingheartbreaking to witness whats occurring archbishop vigano is similar to papa benedict xvi in love for truth and a passion for souls to accept and live in the light of truth all of the evil crapola going on is because of removing god from every aspect of our lives thanks again ben god bless you and your family
13,is ben finally gonna mention andrew tate watch him join the daily wire next year
12,ben happy new year am excited for all your shows in this new year
11,thank god ben matt and candace are back happy new year
11,jesus christ died for our sins according to the scriptures and that he was buried and that he rose again the third day praying for everyone everyday god bless you all 
10,christians dont hate change it depends on what the changes are changes that are not good destroying the human language for made up pronouns destroying our economy for green points and destroying our sovereignty by opening the border
10,i wish hamlin a safe and effective recovery thanks jim eagle
7,this year might be more insane than last
6,hey ben great show topg andrew tate was in fact in the same weight division as myself in professional kickboxing light heavyweight cruiserweight for the most part
6,pope tate new york terror attack always when ben goes on holidays so many things happens
6,the thing about andrew tate is that his listeners dont eat up every single thing its that they appreciate he doesnt pull punches it doesnt mean we agree with every single point but hes winning at life hes doing what he wants but he is promoting traditional values for men in there own lives we take the good stuff from him and laugh at the other stuff not everyone wants his exact life we just love that hes a masculine man and doesnt give a shit and honestly its meant to draw fire because the right never fights with fire or fights at all we like that andrew punches and he punches hard and hes quick and hes ready he asks one follow up question just like you ben and anyone he debates back pedals and shuts up i respect the hell out of that
6,why would you not vote for macarthy i dont know maybe because when you hand republicans a soft win they dont change sorry ben i would love to see him lose and maybe see if the party can pull its head out of its ass
6,the fall in the garden was a reliance on self knowledge like we need clothes we are naked we will make our own clothes relying on self not god competing knowledges or moreso relying on our works over our faith in god man does not live by bread alone but every word from the mouth of his creator
6,happy new year brother and everyone else from syracuse ny
6,rip pope benedict xvi thank you for your service to god it will never be forgotten
6,is ben finally gonna mention andrew tate watch him join the daily wire next year
6,urgent emergency please join me in prayer for damar hamlin and family he collapsed during football game in critical condition he desperately need your prayers please pray for him god bless you all
5,i live in colorado and starting this year the government is forcing grocery stores to charge 10 cents per grocery bag government sucks
5,the thing is andrew tate wasnt saying men and women belong to each other he was saying women have emotions ie they arent objects but women belong to the men in their lives ie their fathers or husbands he isnt being conservative hes advocating specifically for the things that most people would say should be left in the past its a little disappointing to see ben dancing around this guy hes a worm who gets way too much attention
5,ancient wisdomwhich is a form of data thank you ben at last somebody said it 
5,id love to see a debate between ben and tate it would be like an unstoppable force meeting an immovable object
5,we need every republican voting for good things and against bad things which is far from guaranteed because since when has our party unanimously supported anything
